Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / International,Price / International,Compare At Price / International,Status
sexy-top,Sexy Top,"<p>You’ve never seen a triangle top like this before! Whether you are roller skating down Venice Beach or sunning yourself in St.Tropez, this elevated Sexy triangle top features our gold triangle hardware detail. We’ve replaced those ordinary ties in the back with chic adjustable straps whether you wear them over the shoulder or criss cross, our sexy top will not disappoint! Warning: this top is sure to turn heads!
</p>
<ul>
<li>Removable cups</li>
<li>Fully adjustable </li>
<li>Medium support</li>
</ul>
<p><strong>See our Stylized<span> </span></strong><strong><a href=""https://www.swiminista.com/pages/fit-guide"">Fit Guide</a></strong><strong>. Find your perfect fit.</strong></p>
<p>Questions?<span> </span><a href=""https://calendly.com/swiminista/15min"">Schedule a Zoom</a><span> </span>for your Fit!<br></p>
<p><strong>Style:</strong><span> </span>Sexy Top</p>
<p><strong>Sizes:</strong><span> </span>XS – XL; cup sizes up to DD</p>
<p><strong>Colors:</strong><span> </span></p>
<ul>
<li>Leopard print shown with Fearless bottom</li>
<li>Black shown with Fearless bottom</li>
</ul>",SWIMINISTA,,SWIMWEAR,"3 WAY, ADJUSTABLE, BEACH, BIKINI, BLACK, BLACKGOLD TRIANGLE, BOTTOM, BRAIDED, CLASSIC, CLEAVAGE, CONVERTIBLE, COVERAGE, ECO FRIENDLY, FLATTERING, HOLIDAY, L, LARGE CUP SIZES, LEOPARD, M, NUDE, PERFECT FIT, PLUNGE, PRINTED, S, SEXY, spo-default, spo-disabled, SUPPORTIVE, TRIANGLE, VERSATILE, XL, XS",true,Color,Leopard,Size,XS,,,WS23113TLE,0.0,shopify,deny,manual,88.00,,true,true,'810107441749,https://cdn.shopify.com/s/files/1/0150/5306/2192/products/UntitledSession0241.jpg?v=1684367170,1,,false,,The Sexy top provides exceptional lift and support while maintaining a fun and flirty look. Wild leopard print provides a sexy punch that balances perfectly with the soft feminine features of this gorgeous bikini top.,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0150/5306/2192/products/UntitledSession0364_7c464dfc-d288-4d82-8abd-85c1a4f11da6.jpg?v=1684367170,lb,,,true,true,,,active
sexy-top,,,,,,,,,Leopard,,S,,,WS23113TLE,0.0,shopify,deny,manual,88.00,,true,true,'810107441756,https://cdn.shopify.com/s/files/1/0150/5306/2192/products/UntitledSession0364_7c464dfc-d288-4d82-8abd-85c1a4f11da6.jpg?v=1684367170,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0150/5306/2192/products/UntitledSession0368_3c49cfb4-a02e-4b7d-943d-683d2f5bd017.jpg?v=1684367170,lb,,,,,,,
sexy-top,,,,,,,,,Leopard,,M,,,WS23113TLE,0.0,shopify,deny,manual,88.00,,true,true,'810107441763,https://cdn.shopify.com/s/files/1/0150/5306/2192/products/UntitledSession0366_f6ce2811-f5a0-47c9-8c0c-954ec8b7752e.jpg?v=1684367170,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0150/5306/2192/products/UntitledSession0366_f6ce2811-f5a0-47c9-8c0c-954ec8b7752e.jpg?v=1684367170,lb,,,,,,,
sexy-top,,,,,,,,,Leopard,,L,,,WS23113TLE,0.0,shopify,deny,manual,88.00,,true,true,'810107441770,https://cdn.shopify.com/s/files/1/0150/5306/2192/products/UntitledSession0368_3c49cfb4-a02e-4b7d-943d-683d2f5bd017.jpg?v=1684367170,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0150/5306/2192/products/UntitledSession0364_7c464dfc-d288-4d82-8abd-85c1a4f11da6.jpg?v=1684367170,lb,,,,,,,
sexy-top,,,,,,,,,Leopard,,XL,,,WS23113TLE,0.0,shopify,deny,manual,88.00,,true,true,'810107441787,https://cdn.shopify.com/s/files/1/0150/5306/2192/products/UntitledSession0244.jpg?v=1680734017,5,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0150/5306/2192/products/UntitledSession0364_7c464dfc-d288-4d82-8abd-85c1a4f11da6.jpg?v=1684367170,lb,,,,,,,
sexy-top,,,,,,,,,White Hot,,XS,,,WS23113TWH,0.0,shopify,continue,manual,88.00,,true,true,'810107443873,https://cdn.shopify.com/s/files/1/0150/5306/2192/products/UntitledSession0440_507d99cc-82f6-4e7e-b759-140f445d222d.jpg?v=1680734017,6,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0150/5306/2192/products/UntitledSession0241.jpg?v=1684367170,lb,,,,,,,
sexy-top,,,,,,,,,White Hot,,S,,,WS23113TWH,0.0,shopify,continue,manual,88.00,,true,true,'810107443880,https://cdn.shopify.com/s/files/1/0150/5306/2192/products/UntitledSession0442_02ed7d8a-abd1-48b8-85b5-adb135bd3278.jpg?v=1680734017,7,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0150/5306/2192/products/UntitledSession0241.jpg?v=1684367170,lb,,,,,,,
sexy-top,,,,,,,,,White Hot,,M,,,WS23113TWH,0.0,shopify,continue,manual,88.00,,true,true,'810107443897,https://cdn.shopify.com/s/files/1/0150/5306/2192/products/UntitledSession0444_412c6cb2-f27b-418f-a2ed-b3be4a94838c.jpg?v=1680734017,8,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0150/5306/2192/products/UntitledSession0241.jpg?v=1684367170,lb,,,,,,,
sexy-top,,,,,,,,,White Hot,,L,,,WS23113TWH,0.0,shopify,continue,manual,88.00,,true,true,'810107443903,https://cdn.shopify.com/s/files/1/0150/5306/2192/products/UntitledSession0445_78351ed1-85f5-46c3-a22f-1fa3a220f8b5.jpg?v=1680734017,9,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0150/5306/2192/products/UntitledSession0241.jpg?v=1684367170,lb,,,,,,,
sexy-top,,,,,,,,,White Hot,,XL,,,WS23113TWH,0.0,shopify,continue,manual,88.00,,true,true,'810107443910,https://cdn.shopify.com/s/files/1/0150/5306/2192/products/UntitledSession0185_9b76a107-d189-4264-92d3-028c990358d6.jpg?v=1680734017,10,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0150/5306/2192/products/UntitledSession0241.jpg?v=1684367170,lb,,,,,,,
